VehicleID,LaneNumber,FrameNumber,Timestamp
2,1,3,0.1
3,3,3,0.1
4,2,3,0.1
9,2,19,0.633
5,2,23,0.767
14,2,31,1.033
14,1,44,1.467
22,1,44,1.467
25,3,46,1.533
9,1,47,1.567
26,2,48,1.6
26,1,49,1.633
4,1,52,1.733
35,1,64,2.133
8,2,66,2.2
3,2,120,4.0
53,2,131,4.367
40,3,135,4.5
50,2,148,4.933
57,2,168,5.6
65,2,169,5.633
64,1,179,5.967
25,2,180,6.0
40,2,183,6.1
25,1,199,6.633
66,2,199,6.633
51,2,203,6.767
40,1,204,6.8
51,3,218,7.267
86,3,225,7.5
74,2,227,7.567
84,2,227,7.567
70,2,240,8.0
69,2,246,8.2
98,3,249,8.3
70,3,252,8.4
74,3,254,8.467
57,1,262,8.733
84,1,266,8.867
50,3,274,9.133
119,1,275,9.167
91,2,281,9.367
121,2,295,9.833
87,2,302,10.067
62,2,310,10.333
87,3,313,10.433
125,2,314,10.467
50,1,315,10.5
66,1,321,10.7
130,3,328,10.933
132,3,330,11.0
98,2,349,11.633
143,2,353,11.767
117,2,354,11.8
145,3,356,11.867
125,1,357,11.9
143,1,358,11.933
147,2,359,11.967
121,1,364,12.133
148,2,364,12.133
91,3,367,12.233
62,3,368,12.267
117,3,375,12.5
98,1,382,12.733
121,3,424,14.133
156,2,429,14.3
171,2,474,15.8
160,2,475,15.833
188,2,516,17.2
171,1,517,17.233
188,1,517,17.233
185,2,533,17.767
200,1,540,18.0
196,2,543,18.1
189,2,544,18.133
190,2,549,18.3
206,2,552,18.4
178,2,555,18.5
216,2,573,19.1
216,1,575,19.167
206,1,576,19.2
220,2,581,19.367
224,1,590,19.667
225,2,593,19.767
174,2,594,19.8
174,3,612,20.4
185,3,617,20.567
209,2,627,20.9
241,2,630,21.0
220,1,632,21.067
241,1,632,21.067
228,2,644,21.467
247,2,656,21.867
253,2,661,22.033
254,3,661,22.033
247,3,665,22.167
228,3,668,22.267
189,3,672,22.4
258,3,674,22.467
266,2,700,23.333
254,2,712,23.733
269,2,725,24.167
286,2,738,24.6
253,1,740,24.667
286,1,740,24.667
285,2,743,24.767
261,2,757,25.233
266,1,760,25.333
255,2,766,25.533
254,1,767,25.567
285,1,771,25.7
255,3,781,26.033
292,2,785,26.167
291,2,787,26.233
316,2,829,27.633
308,2,832,27.733
324,3,834,27.8
315,2,837,27.9
307,2,839,27.967
330,3,847,28.233
295,2,854,28.467
295,3,879,29.3
344,3,891,29.7
347,2,903,30.1
315,1,906,30.2
328,2,927,30.9
366,3,949,31.633
367,2,955,31.833
293,2,957,31.9
342,2,969,32.3
293,3,971,32.367
328,3,997,33.233
392,3,1010,33.667
356,2,1039,34.633
342,3,1041,34.7
409,2,1043,34.767
363,2,1044,34.8
367,1,1045,34.833
409,1,1045,34.833
412,2,1061,35.367
414,2,1066,35.533
365,2,1070,35.667
316,1,1081,36.033
394,2,1092,36.4
414,3,1094,36.467
425,1,1111,37.033
427,2,1116,37.2
404,2,1126,37.533
434,3,1130,37.667
356,1,1142,38.067
429,1,1142,38.067
347,1,1157,38.567
427,1,1182,39.4
426,2,1196,39.867
365,3,1210,40.333
443,3,1212,40.4
444,2,1214,40.467
448,3,1229,40.967
446,2,1239,41.3
404,1,1247,41.567
449,2,1248,41.6
449,1,1252,41.733
444,1,1256,41.867
342,1,1258,41.933
412,1,1283,42.767
445,2,1287,42.9
448,2,1297,43.233
455,2,1303,43.433
426,1,1311,43.7
457,2,1311,43.7
363,1,1341,44.7
453,2,1348,44.933
468,2,1373,45.767
484,2,1386,46.2
445,1,1390,46.333
447,2,1394,46.467
496,2,1417,47.233
470,2,1420,47.333
470,1,1430,47.667
480,2,1444,48.133
510,1,1445,48.167
513,3,1456,48.533
512,2,1467,48.9
518,2,1471,49.033
518,3,1482,49.4
521,2,1482,49.4
522,2,1484,49.467
501,2,1505,50.167
457,1,1510,50.333
528,2,1510,50.333
522,3,1524,50.8
447,3,1542,51.4
543,2,1547,51.567
549,2,1563,52.1
480,1,1604,53.467
566,2,1604,53.467
566,1,1606,53.533
543,1,1607,53.567
486,2,1622,54.067
577,1,1642,54.733
581,3,1665,55.5
434,2,1671,55.7
480,3,1680,56.0
549,3,1686,56.2
568,2,1686,56.2
590,3,1691,56.367
590,2,1700,56.667
501,1,1703,56.767
295,1,1708,56.933
588,2,1717,57.233
559,2,1731,57.7
596,1,1747,58.233
581,2,1804,60.133
581,1,1806,60.2
443,2,1807,60.233
605,3,1813,60.433
443,1,1814,60.467
588,1,1819,60.633
592,2,1823,60.767
592,3,1825,60.833
599,2,1827,60.9
559,3,1828,60.933
598,2,1839,61.3
612,1,1853,61.767
614,1,1854,61.8
568,1,1893,63.1
609,2,1893,63.1
615,2,1893,63.1
626,3,1894,63.133
627,2,1901,63.367
598,3,1908,63.6
599,1,1912,63.733
627,3,1916,63.867
632,2,1922,64.067
603,2,1931,64.367
624,2,1971,65.7
649,1,1977,65.9
603,3,1979,65.967
621,2,1990,66.333
655,3,2004,66.8
665,2,2019,67.3
621,3,2020,67.333
665,3,2020,67.333
631,2,2022,67.4
609,1,2031,67.7
643,2,2034,67.8
644,2,2034,67.8
632,1,2035,67.833
671,3,2037,67.9
655,2,2043,68.1
686,3,2069,68.967
598,1,2091,69.7
